WFO,tA_AR_TO_A,tA_AR_SV_A,tA_AR_TO_C,tA_AR_SV_C,tA_AR_TO_W,tA_AR_SV_W,AS_AR_TO_A,AS_AR_SV_A,AS_AR_TO_C,AS_AR_SV_C,AS_AR_TO_W,AS_AR_SV_W
ABQ,0.0143369,0.09319,0.0133929,0.0446429,0.0154242,0.1491,0.05,0.15,0.0666667,0.0666667,0,0.4
ABR,0.0446521,0.176532,0.00744417,0.0248139,0.0714286,0.285714,0.119266,0.431193,0.0454545,0.136364,0.130742,0.477032
AKQ,0.084922,0.19844,0.0528926,0.0859504,0.120219,0.322404,0.133459,0.306391,0.0585859,0.0929293,0.198594,0.492091
ALY,0.027234,0.153191,0.00687285,0.0463918,0.0472175,0.25801,0.0435754,0.258101,0.00606061,0.069697,0.0654867,0.368142
AMA,0.0441478,0.173511,0.0278373,0.0835118,0.0591716,0.25641,0.109155,0.383803,0.0759494,0.21519,0.121951,0.44878
APX,0.0142315,0.111006,0.00621118,0.0227743,0.0210158,0.185639,0.0361248,0.261084,0.0189873,0.0696203,0.0421286,0.32816
ARX,0.0523763,0.189137,0.0126316,0.0442105,0.0863309,0.31295,0.116883,0.387987,0.0381679,0.114504,0.138144,0.461856
BGM,0.0363008,0.182368,0.0122164,0.0453752,0.0599315,0.316781,0.0651921,0.298021,0.0120482,0.0722892,0.0986717,0.440228
BIS,0.040282,0.1571,0,0.00945626,0.0701754,0.266667,0.144737,0.390351,0,0,0.173684,0.468421
BMX,0.153249,0.259942,0.194208,0.248722,0.0990991,0.274775,0.223793,0.382803,0.245763,0.315678,0.196286,0.466844
BOI,0.00343643,0.0355097,0,0.00588235,0.00826446,0.077135,0.0136986,0.0410959,0,0,0.0526316,0.157895
BOU,0.0362573,0.0935673,0,0.00705882,0.072093,0.17907,0,0,0,0,0,0
BOX,0.0287162,0.157939,0.00340136,0.042517,0.0536913,0.271812,0.046729,0.25026,0.0025974,0.0571429,0.0761246,0.378893
BRO,0.00783546,0.0254652,0.00390625,0.0195312,0.0117878,0.0314342,0.0302613,0.0825309,0.00632911,0.0411392,0.0486618,0.114355
BTV,0.00608167,0.113814,0,0.0234657,0.0117253,0.197655,0.016731,0.222651,0,0.0526316,0.0254403,0.311155
BUF,0.0247788,0.168142,0.00528169,0.0492958,0.044484,0.288256,0.0472527,0.314286,0.00879765,0.0791789,0.0702988,0.455185
BYZ,0.00842105,0.0652632,0,0.00210084,0.0168776,0.128692,0,0.0689655,0,0,0,0.173913
CAE,0.0610902,0.193609,0.0660066,0.120462,0.0545852,0.290393,0.089192,0.314795,0.0841683,0.156313,0.0947137,0.488987
CAR,0.00676819,0.0846024,0,0.0144928,0.0126984,0.146032,0.0204638,0.170532,0,0.0376569,0.0303644,0.234818
CHS,0.0613027,0.211686,0.0490694,0.143824,0.0772627,0.300221,0.107256,0.299685,0.0788955,0.18146,0.13964,0.434685
CLE,0.0665451,0.206928,0.0255009,0.0837887,0.107664,0.330292,0.122727,0.367045,0.0306407,0.125348,0.18618,0.533589
CRP,0.0251208,0.0483092,0.0169173,0.037594,0.0337972,0.0596421,0.0630252,0.105042,0.0383387,0.0702875,0.0822943,0.13217
CTP,0.0454545,0.221269,0.00686106,0.077187,0.084048,0.365352,0.0938914,0.361991,0.00557103,0.114206,0.154286,0.531429
CYS,0.0172612,0.103567,0,0.00240964,0.0330396,0.196035,0,0.105263,0,0,0,0.2
DDC,0.0457711,0.174129,0.0173913,0.0543478,0.0697248,0.275229,0.121053,0.421053,0.0641026,0.217949,0.135762,0.47351
DLH,0.0358923,0.167498,0.00472813,0.0189125,0.0586207,0.275862,0.11236,0.417978,0.0166667,0.1,0.127273,0.467532
DMX,0.0778968,0.259007,0.033195,0.0954357,0.117431,0.40367,0.186777,0.532231,0.0909091,0.223776,0.21645,0.627706
