WFO,AN_AR_tA,AN_AR_tA_C,AN_AR_tA_W,AN_AR_AS,AN_AR_AS_C,AN_AR_AS_W
ABQ,41.85,22.4,19.45,1,0.75,0.25
ABR,48.15,20.15,28,16.35,2.2,14.15
AKQ,57.7,30.25,27.45,53.2,24.75,28.45
ALY,58.75,29.1,29.65,44.75,16.5,28.25
AMA,48.7,23.35,25.35,14.2,3.95,10.25
APX,52.7,24.15,28.55,30.45,7.9,22.55
ARX,51.55,23.75,27.8,30.8,6.55,24.25
BGM,57.85,28.65,29.2,42.95,16.6,26.35
BIS,49.65,21.15,28.5,11.4,1.9,9.5
BMX,51.55,29.35,22.2,42.45,23.6,18.85
BOI,43.65,25.5,18.15,3.65,2.7,0.95
BOU,42.75,21.25,21.5,0.25,0,0.25
BOX,59.2,29.4,29.8,48.15,19.25,28.9
BRO,51.05,25.6,25.45,36.35,15.8,20.55
BTV,57.55,27.7,29.85,38.85,13.3,25.55
BUF,56.5,28.4,28.1,45.5,17.05,28.45
BYZ,47.5,23.8,23.7,2.9,1.75,1.15
CAE,53.2,30.3,22.9,47.65,24.95,22.7
CAR,59.1,27.6,31.5,36.65,11.95,24.7
CHS,52.2,29.55,22.65,47.55,25.35,22.2
CLE,54.85,27.45,27.4,44,17.95,26.05
CRP,51.75,26.6,25.15,35.7,15.65,20.05
CTP,58.3,29.15,29.15,44.2,17.95,26.25
CYS,43.45,20.75,22.7,0.95,0.45,0.5
DDC,50.25,23,27.25,19,3.9,15.1
DLH,50.15,21.15,29,22.25,3,19.25
DMX,51.35,24.1,27.25,30.25,7.15,23.1
DTX,53.85,26.5,27.35,36.8,12.9,23.9
DVN,52.8,25.75,27.05,34.7,9.8,24.9
EAX,53.2,25.7,27.5,36.05,11.25,24.8
EKA,45.8,29.9,15.9,7.95,6.4,1.55
EPZ,41.75,23.2,18.55,2.85,1.95,0.9
EWX,51.55,26.9,24.65,24.6,11.8,12.8
FFC,52.5,30.3,22.2,40.35,22.9,17.45
FGF,47.45,19.4,28.05,21.2,2.45,18.75
FGZ,38.45,20.3,18.15,1.75,1,0.75
FSD,49.5,21.3,28.2,23.8,3.6,20.2
FWD,53.6,28.45,25.15,37.5,19.35,18.15
GGW,48.95,24.25,24.7,6.95,2.2,4.75
GID,51.1,22.25,28.85,20.75,3.6,17.15
GJT,39.65,20.9,18.75,0.4,0.1,0.3
GLD,48.9,21.5,27.4,7.75,1.5,6.25
GRB,51.1,22.55,28.55,28,5.45,22.55
GRR,53.9,26.55,27.35,37.1,12.3,24.8
GSP,55.2,30.75,24.45,39.55,22.05,17.5
GYX,60.2,28.9,31.3,36.2,12.55,23.65
HFO,23.6,16.1,7.5,25.6,11.3,14.3
HGX,53.5,28.65,24.85,40.95,22.5,18.45
HNX,37.3,24.1,13.2,3,2.6,0.4
HUN,54.35,29.55,24.8,44,23.65,20.35
ICT,50.8,24.45,26.35,31.8,9.1,22.7
ILM,53.7,30.05,23.65,50.8,26.3,24.5
ILN,56.9,28.8,28.1,45.55,19.8,25.75
ILX,55.5,27.8,27.7,42.25,16.2,26.05
IND,56.55,28.4,28.15,43.55,18.5,25.05
IWX,53.2,26.7,26.5,41.3,15.85,25.45
JAN,52.5,29.2,23.3,43,24.35,18.65
JAX,49,28.15,20.85,43.95,24.25,19.7
JKL,55.6,29.95,25.65,48.8,22.75,26.05
KEY,37.5,20.3,17.2,30.95,16.25,14.7
LBF,50.8,22.6,28.2,9.8,1.75,8.05
LCH,51.95,29.55,22.4,42.85,24.85,18
