id,data_csv_name,header_name,analysis,figure
1,AvgNum_TO_SV_warnings,AN_TO,Average number of severe tstorms warnings per year,Fig 2a
2,AvgNum_TO_SV_warnings,AN_ST,Average number of tornado warnings per year,Fig 2b
3,AvgNum_tA_AS_ARs,AN_AR_tA,"Average number of AR Events, tARget",Fig 2c
4,AvgNum_TO_SV_warnings,AN_TO_C,Average number of tornado warnings per cool season,Fig 2d
5,AvgNum_TO_SV_warnings,AN_ST_C,Average number of severe tstorm warnings per cool season,Fig 2e
6,AvgNum_tA_AS_ARs,AN_AR_tA_C,"Average number of AR Events, tARget, Cool Season",Fig 2f
7,AvgNum_TO_SV_warnings,AN_TO_W,Average number of tornado warnings per warm season,Fig 2g
8,AvgNum_TO_SV_warnings,AN_ST_W,Average number of severe tstorm warnings per warm season,Fig 2h
9,AvgNum_tA_AS_ARs,AN_AR_tA_W,"Average number of AR Events, tARget, Warm Season",Fig 2i
10,WarningPerspective_TO_SV_with_tA_AS,AF_TO_tA_A,"AR Fraction, Tornado, tARget",Fig 3a
11,WarningPerspective_TO_SV_with_tA_AS,AF_ST_tA_A,"AR Fraction, Severe Tstorm, tARget",Fig 3b
12,WarningPerspective_TO_SV_with_tA_AS,AF_TO_tA_C,"AR Fraction, Tornado, tARget, Cool Season",Fig 3c
13,WarningPerspective_TO_SV_with_tA_AS,AF_ST_tA_C,"AR Fraction, Severe Tstorm, tARget, Cool Season",Fig 3d
14,WarningPerspective_TO_SV_with_tA_AS,AF_TO_tA_W,"AR Fraction, Tornado, tARget, warm Season",Fig 3e
15,WarningPerspective_TO_SV_with_tA_AS,AF_ST_tA_W,"AR Fraction, Severe Tstorm, tARget, Warm Season",Fig 3f
16,ARPerspective_tA_AS_with_TO_SV,tA_AR_TO_A,Fraction of Tornado during all months w/ tARget AR,Fig 4a
17,ARPerspective_tA_AS_with_TO_SV,tA_AR_SV_A,Fraction of Severe during all months w/ tARget AR,Fig 4b
18,ARPerspective_tA_AS_with_TO_SV,tA_AR_TO_C,Fraction of Tornado during cool-season w/ tARget AR,Fig 4c
19,ARPerspective_tA_AS_with_TO_SV,tA_AR_SV_C,Fraction of Severe during cool-season w/ tARget AR,Fig 4d
20,ARPerspective_tA_AS_with_TO_SV,tA_AR_TO_W,Fraction of Tornado during warm-season w/ tARget AR,Fig 4e
21,ARPerspective_tA_AS_with_TO_SV,tA_AR_SV_W,Fraction of Severe during warm-season w/ tARget AR,Fig 4f
22,AvgNum_tA_AS_ARs,AN_AR_AS,"Average number of AR Events, AR Scale",Fig S2a
23,AvgNum_tA_AS_ARs,AN_AR_AS_C,"Average number of AR Events, AR Scale, Cool Season",Fig S2b
24,AvgNum_tA_AS_ARs,AN_AR_AS_W,"Average number of AR Events, AR Scale, Warm Season",Fig S2c
25,WarningPerspective_TO_SV_with_tA_AS,AF_TO_AS_A,"AR Fraction, Tornado, AR Scale",Fig S3a
26,WarningPerspective_TO_SV_with_tA_AS,AF_ST_AS_A,"AR Fraction, Severe Tstorm, AR Scale",Fig S3b
27,WarningPerspective_TO_SV_with_tA_AS,AF_TO_AS_C,"AR Fraction, Tornado, AR Scale, Cool Season",Fig S3c
28,WarningPerspective_TO_SV_with_tA_AS,AF_ST_AS_C,"AR Fraction, Severe Tstorm, AR Scale, Cool Season",Fig S3d
29,WarningPerspective_TO_SV_with_tA_AS,AF_TO_AS_W,"AR Fraction, Tornado, AR Scale, warm Season",Fig S3e
30,WarningPerspective_TO_SV_with_tA_AS,AF_ST_AS_W,"AR Fraction, Severe Tstorm, AR Scale, Warm Season",Fig S3f
31,ARPerspective_tA_AS_with_TO_SV,AS_AR_TO_A,Fraction of Tornado during all months w/ AR Scale AR,Fig S4a
32,ARPerspective_tA_AS_with_TO_SV,AS_AR_SV_A,Fraction of Severe during all months w/ AR Scale AR,Fig S4b
33,ARPerspective_tA_AS_with_TO_SV,AS_AR_TO_C,Fraction of Tornado during cool-season w/ AR Scale AR,Fig S4c
34,ARPerspective_tA_AS_with_TO_SV,AS_AR_SV_C,Fraction of Severe during cool-season w/ AR Scale AR,Fig S4d
35,ARPerspective_tA_AS_with_TO_SV,AS_AR_TO_W,Fraction of Tornado during warm-season w/ AR Scale AR,Fig S4e
36,ARPerspective_tA_AS_with_TO_SV,AS_AR_SV_W,Fraction of Severe during warm-season w/ AR Scale AR,Fig S4f
