WFO,AF_TO_tA_A,AF_ST_tA_A,AF_TO_tA_C,AF_ST_tA_C,AF_TO_tA_W,AF_ST_tA_W,AF_TO_AS_A,AF_ST_AS_A,AF_TO_AS_C,AF_ST_AS_C,AF_TO_AS_W,AF_ST_AS_W
ABQ,0.118644,0.0880879,0.583333,0.418129,0.0540541,0.0647957,0.00677966,0.00655359,0.0555556,0.0555556,0,0.00309534
ABR,0.384181,0.23262,0.421053,0.722222,0.38209,0.228343,0.375706,0.240077,0.210526,0.388889,0.385075,0.238777
AKQ,0.577534,0.339683,0.9,0.776758,0.499241,0.298291,0.888889,0.624868,0.8875,0.611621,0.889226,0.626122
ALY,0.444444,0.339367,0.833333,0.736842,0.421569,0.322943,0.787037,0.633136,0.5,0.596491,0.803922,0.63465
AMA,0.326565,0.184391,0.867347,0.575221,0.219067,0.155633,0.28934,0.174282,0.581633,0.339233,0.231237,0.162145
APX,0.4,0.330551,0.4,0.442857,0.4,0.323582,0.76,0.578464,0.9,0.671429,0.738462,0.572695
ARX,0.533981,0.34914,1,0.675676,0.506849,0.333187,0.783172,0.628619,0.647059,0.603604,0.791096,0.629842
BGM,0.573991,0.332766,0.785714,0.735849,0.559809,0.313743,0.820628,0.606293,0.714286,0.622642,0.827751,0.605521
BIS,0.215926,0.176529,-1,0.425,0.215926,0.17454,0.209801,0.142772,-1,0,0.209801,0.143915
BMX,0.666864,0.353584,0.758585,0.577139,0.545953,0.259347,0.907692,0.563438,0.890739,0.759525,0.930041,0.480779
BOI,0.2,0.1563,-1,0.190476,0.2,0.155116,0.1,0.00478469,-1,0,0.1,0.00495049
BOU,0.105791,0.0683143,0,0.3,0.106742,0.0666823,0.00111359,0.00233155,0,0,0.0011236,0.00234797
BOX,0.513699,0.330638,0.142857,0.517241,0.55303,0.320949,0.767123,0.647234,0.0714286,0.560345,0.840909,0.651746
BRO,0.1,0.079409,0.181818,0.246377,0.0892857,0.0550265,0.442105,0.185596,0.181818,0.246377,0.47619,0.17672
BTV,0.393939,0.330119,-1,0.840909,0.393939,0.312883,0.787879,0.652819,-1,0.954545,0.787879,0.642638
BUF,0.617284,0.464724,1,0.803279,0.581081,0.442203,0.864198,0.745399,1,0.877049,0.851351,0.736641
BYZ,0.0642202,0.0938828,-1,0.444444,0.0642202,0.0925373,0,0.00849618,-1,0,0,0.00852878
CAE,0.492492,0.253464,0.650794,0.640732,0.396135,0.201295,0.843844,0.490084,0.873016,0.773455,0.826087,0.451911
CAR,0.363636,0.312671,-1,0.894737,0.363636,0.302412,0.772727,0.549681,-1,0.947368,0.772727,0.542672
CHS,0.37156,0.272012,0.494949,0.54,0.335312,0.229772,0.844037,0.478366,0.89899,0.768889,0.827893,0.432574
CLE,0.445333,0.373394,0.522727,0.751724,0.435045,0.341555,0.872,0.699946,0.931818,0.717241,0.864048,0.698491
CRP,0.185268,0.111252,0.346667,0.198276,0.152815,0.0867099,0.377232,0.177623,0.28,0.238506,0.396783,0.160454
CTP,0.562044,0.382867,0.789474,0.601533,0.545098,0.36762,0.748175,0.633616,0.578947,0.574713,0.760784,0.637724
CYS,0.107232,0.0727031,0,0.5,0.1075,0.071104,0,0.00266312,0,0,0,0.00267308
DDC,0.365662,0.191031,0.67033,0.577778,0.324405,0.168256,0.352556,0.204273,0.626374,0.457143,0.315476,0.189381
DLH,0.399123,0.322045,0.666667,0.553191,0.391892,0.318307,0.583333,0.51236,0.5,0.425532,0.585586,0.513765
DMX,0.477547,0.338249,0.746835,0.630807,0.421192,0.314713,0.681271,0.514837,0.620253,0.523227,0.69404,0.514162
DTX,0.518349,0.384577,0.538462,0.607143,0.515625,0.367914,0.784404,0.695522,0.692308,0.707143,0.796875,0.694652
DVN,0.556492,0.361189,0.784,0.66289,0.495726,0.323716,0.763912,0.632551,0.768,0.696884,0.762821,0.62456
EAX,0.468553,0.338788,0.629139,0.731061,0.418557,0.28693,0.707547,0.578726,0.649007,0.660985,0.725773,0.567852
EKA,-1,0.133333,-1,0.777778,-1,0.0454545,-1,0.0133333,-1,0.111111,-1,0
EPZ,0.0882353,0.0601124,0.2,0.218254,0,0.0340314,0,0.00955056,0,0.0674603,0,0
EWX,0.362903,0.181443,0.636905,0.408983,0.222561,0.117996,0.389113,0.159536,0.553571,0.319149,0.304878,0.11503
FFC,0.551628,0.288532,0.638835,0.556467,0.471429,0.217976,0.875349,0.464098,0.831068,0.743849,0.916071,0.39043
FGF,0.251256,0.270094,0.75,0.473684,0.248737,0.267873,0.511307,0.428571,1,0.368421,0.508838,0.429228
FGZ,0.481013,0.106127,0.767442,0.383333,0.138889,0.0758495,0.392405,0.0437637,0.674419,0.227778,0.0555556,0.023665
FSD,0.374046,0.243308,0.710526,0.679739,0.353323,0.229652,0.479389,0.337101,0.236842,0.470588,0.494327,0.332924
FWD,0.511723,0.292,0.801802,0.531439,0.362654,0.21792,0.659531,0.414286,0.834835,0.556832,0.569444,0.370183
GGW,0.0967742,0.13489,-1,0.272727,0.0967742,0.134231,0.0322581,0.0380458,-1,0,0.0322581,0.0382276
GID,0.406886,0.25368,0.677419,0.586957,0.393092,0.234,0.478873,0.292814,0.774194,0.490683,0.463816,0.28113
GJT,0.25,0.315118,0.5,0.368421,0.166667,0.308943,0,0.00182149,0,0.0175439,0,0
GLD,0.275393,0.160632,0.907407,0.644068,0.237514,0.146714,0.156021,0.0882213,0.259259,0.214689,0.149834,0.0845804
GRB,0.5,0.349136,0.714286,0.630137,0.49162,0.337209,0.672043,0.591746,0.571429,0.726027,0.675978,0.586047
GRR,0.664634,0.420715,0.516129,0.570423,0.699248,0.408434,0.920732,0.733049,1,0.760563,0.902256,0.730791
GSP,0.553539,0.205446,0.802956,0.624309,0.408046,0.171645,0.800363,0.294004,0.862069,0.611418,0.764368,0.268391
GYX,0.618421,0.332509,1,0.734375,0.613333,0.321625,0.855263,0.533168,1,0.515625,0.853333,0.533644
HFO,0,0.0615385,0,0.0625,-1,0,0.25,0.384615,0.25,0.390625,-1,0
HGX,0.352078,0.228621,0.651877,0.419444,0.184762,0.165596,0.762836,0.35931,0.8157,0.4875,0.733333,0.316972
HNX,0.4,0.232787,0.48,0.441667,0.2,0.0972973,0.0285714,0.0262295,0.04,0.05,0,0.0108108
HUN,0.736093,0.366879,0.769231,0.627225,0.710345,0.267148,0.895213,0.577146,0.890533,0.772775,0.898851,0.502206
ICT,0.472637,0.252785,0.694444,0.568588,0.442561,0.22141,0.641791,0.403521,0.458333,0.403579,0.666667,0.403516
ILM,0.377095,0.303156,0.604938,0.632653,0.310469,0.265976,0.924581,0.566477,1,0.770408,0.902527,0.543466
ILN,0.61626,0.359815,0.820809,0.665584,0.536199,0.311864,0.813008,0.665493,0.849711,0.675325,0.798643,0.663951
ILX,0.530895,0.369904,0.8,0.733333,0.433962,0.308946,0.773014,0.643228,0.814286,0.647619,0.758148,0.642492
IND,0.553547,0.36403,0.811321,0.663306,0.480357,0.314016,0.833102,0.687644,0.773585,0.633065,0.85,0.696765
